,Nom,Type,Identificateur WIGOS,Latitude,Longitude,Elevation,Detail url
181,Pabre,Land (fixed),0-854-0-205|primary,"12,52","-1,57",295,https://www.meteoburkina.bf/stations/182
182,Pama,Land (fixed),0-854-0-079|primary,"12,2442","0,7119",206,https://www.meteoburkina.bf/stations/183
183,Pensa-Natenga,Land (fixed),0-854-0-206|primary,"13,3405","-0,809",283,https://www.meteoburkina.bf/stations/184
184,Pibaore,Land (fixed),0-854-0-207|primary,"12,8938","-0,8128",315,https://www.meteoburkina.bf/stations/185
185,Piela,Land (fixed),0-854-0-208|primary,"12,7","0,1316",284,https://www.meteoburkina.bf/stations/186
186,Pissila,Land (fixed),0-854-0-210|primary,"13,1677","-0,8295",315,https://www.meteoburkina.bf/stations/187
187,Poa,Land (fixed),0-854-0-211|primary,"12,2087","-2,1184",330,https://www.meteoburkina.bf/stations/188
188,Pobe-Mengao,Land (fixed),0-854-0-212|primary,"13,8987","-1,763",336,https://www.meteoburkina.bf/stations/189
189,Polesgo,Land (fixed),0-854-0-213|primary,"12,5144","-1,4333",315,https://www.meteoburkina.bf/stations/190
190,Pompoi,Land (fixed),0-854-0-214|primary,"11,8509","-3,2376",319,https://www.meteoburkina.bf/stations/191
191,Poura,Land (fixed),0-854-0-215|primary,"11,6","-2,7631",286,https://www.meteoburkina.bf/stations/192
192,Rollo,Land (fixed),0-854-0-216|primary,"13,5986","-1,704",337,https://www.meteoburkina.bf/stations/193
193,Réo,Land (fixed),0-854-0-081|primary,"12,3086","-2,4586",333,https://www.meteoburkina.bf/stations/194
194,Sabou,Land (fixed),0-854-0-082|primary,"12,0634","-2,22",315,https://www.meteoburkina.bf/stations/195
195,Safané,Land (fixed),0-854-0-217|primary,"12,13","-3,22",317,https://www.meteoburkina.bf/stations/196
196,Safi,Land (fixed),0-854-0-083|primary,"12,8775","-0,7419",321,https://www.meteoburkina.bf/stations/197
197,Samba,Land (fixed),0-854-0-218|primary,"12,6883","-2,3781",297,https://www.meteoburkina.bf/stations/198
198,Samorogouan,Land (fixed),0-854-0-219|primary,"11,3995","-4,9348",380,https://www.meteoburkina.bf/stations/199
199,Samou,Land (fixed),0-854-0-220|primary,"13,0149","0,1438",191,https://www.meteoburkina.bf/stations/200
200,Sanaba,Land (fixed),0-854-0-221|primary,"12,4015","-3,8128",277,https://www.meteoburkina.bf/stations/201
